Date,T-bill(cont.comp),Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
1981-02-28,0.010685,-0.033085,-0.025199,-0.000905,-0.017977,0.045698,-0.011139,-0.043686,0.009168,-0.007972
1981-03-28,0.013157,0.063509,0.046443,0.029673,0.033616,-0.004715,0.009087,-9.2e-05,0.018817,0.022168
1981-04-28,0.010756,-0.031887,0.06179,-0.116583,-0.016266,0.035821,-0.084351,0.013957,-0.030586,-0.010465
1981-05-28,0.010646,0.025163,-0.036551,-0.244035,-0.086568,-0.00184,-0.070257,-0.091565,-0.014801,-0.030358
1981-06-28,0.015158,-0.015288,0.01983,-0.089636,0.020835,-0.219506,0.030417,-0.056856,-0.018647,-0.017134
1981-07-28,0.011915,-0.079413,-0.048942,0.062389,-0.037614,-0.114967,-0.057645,-0.048294,-0.006017,-0.029018
1981-08-28,0.012804,-0.010632,0.025722,0.040648,-0.027691,0.099847,-0.044967,0.030395,-0.071257,-0.032717
1981-09-28,0.012794,-0.158324,-0.107506,0.020849,-0.020727,-0.126174,-0.012105,-0.192843,-0.061283,-0.088185
1981-10-28,0.011685,-0.036739,-0.012883,-0.038376,0.018307,-0.083536,0.069712,0.043677,0.036426,0.018727
1981-11-28,0.01103,0.120965,0.079808,0.058775,0.045225,0.086363,0.080354,0.18099,0.031279,0.063069
1981-12-28,0.008738,-0.057477,0.007253,-0.042789,-0.05287,-0.046835,-0.022045,-0.050664,-0.036622,-0.030165
1982-01-28,0.007306,-0.095434,-0.024235,0.041058,-0.017158,-0.043248,-0.049949,0.039801,-0.02009,-0.022195
1982-02-28,0.009176,-0.086825,-0.088978,0.036246,-0.021735,0.021595,-0.038072,-0.082216,-0.06229,-0.069939
1982-03-28,0.011077,-0.071221,-0.107348,-0.080903,-0.000111,-0.046616,-0.019549,0.00483,-0.018096,-0.038616
1982-04-28,0.01129,-0.019786,0.077479,0.081372,0.024186,-0.04438,-0.01223,0.012761,0.030964,0.037546
1982-05-28,0.009592,-0.03026,-0.04811,-0.020967,-0.031696,-0.093241,-0.045583,0.022481,-0.044307,-0.035027
1982-06-28,0.01071,-0.146315,-0.071212,-0.187903,-0.078141,-0.149705,-0.094652,-0.074893,-0.024891,-0.056127
1982-07-28,0.01021,0.054419,-0.047621,-0.035757,-0.008486,0.053403,-0.006655,0.024705,-0.029686,-0.023318
1982-08-28,0.008342,0.170204,-0.002867,0.016895,-0.035548,0.008402,-0.002849,0.006444,0.113112,0.063958
1982-09-28,0.005118,-0.018214,-0.043528,-0.041165,0.036665,-0.053653,-0.013879,0.041289,0.006652,-0.000686
1982-10-28,0.005475,0.107716,-0.001884,-0.001236,-0.02751,-0.028921,0.040498,0.012121,0.104532,0.06301
1982-11-28,0.007201,0.007244,0.177854,0.034536,0.048609,0.058861,0.069599,-0.035551,0.03037,0.045536
1982-12-28,0.006289,0.084104,0.10712,0.020365,0.109017,0.022855,0.10972,0.007196,0.010518,0.038385
1983-01-28,0.006864,0.023739,-0.048419,0.028019,-0.044085,0.110466,0.008526,-0.022742,0.031967,0.014265
1983-02-28,0.006186,0.03008,0.010117,0.034984,0.078227,0.083819,0.004474,-0.001529,0.01394,0.014595
1983-03-28,0.006326,0.018491,0.033594,0.027687,0.123002,0.040589,-0.011426,0.006846,0.027246,0.028656
1983-04-28,0.006918,0.097056,0.014085,0.031875,0.042397,-0.08477,0.045419,0.133534,0.070598,0.064265
1983-05-28,0.007584,0.01667,-0.005486,0.00711,-0.086246,-0.064945,-0.050831,0.021216,-0.02399,-0.017577
1983-06-28,0.006661,0.014342,0.024937,-0.023698,0.042208,0.000652,0.014651,0.00065,0.031109,0.024546
1983-07-28,0.006917,-0.00171,0.001132,-0.015572,-0.021737,-0.006223,0.013369,-0.043731,-0.040259,-0.024938
1983-08-28,0.008342,-0.003786,-0.020887,0.021788,-0.089232,-0.009479,-0.061054,-0.01822,0.011104,-0.00317
1983-09-28,0.007607,0.005923,0.071108,0.043129,0.045611,-0.032931,0.028789,-0.009834,0.004423,0.012446
1983-10-28,0.007433,-0.06588,-0.012506,-0.009942,0.073109,-0.072824,0.022526,-0.025154,-0.019649,-0.019382
1983-11-28,0.007199,0.079834,0.004958,0.033867,-0.013532,0.014749,0.030587,0.036648,0.013348,0.018443
1983-12-28,0.007039,-0.007413,0.069836,0.018188,-0.00012,-0.01633,0.043451,-0.005971,-0.013456,0.005565
